,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm artist id,spotify followers-jan 5,spotify followers-dec 6,Max Weekly Velocity
0,1,2020-01-05T00:00:00.000Z,Say So,Doja Cat,USRC11903454,0.14285714285714302,26951096.0,117,"['2019-11-07T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-14T00:00:00.000Z', '2020-09-17T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-11T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-17T00:00:00.000Z']",217671.0,779315.0,4337663.0,15.285714285714299
1,2,2020-01-05T00:00:00.000Z,Lottery,K CAMP,USUYG1247701,0.14285714285714302,22696770.0,113,"['2019-04-01T00:00:00.000Z', '2019-06-21T00:00:00.000Z', '2020-04-24T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",4617.0,1034621.0,1230550.0,1.0
2,3,2020-01-05T00:00:00.000Z,All I Want for Christmas is YOU,plottwist,USSM11408817,-0.28571428571428603,15794742.0,37,"['2016-10-14T00:00:00.000Z', '2016-09-09T00:00:00.000Z', '2014-11-17T00:00:00.000Z', '2015-11-13T00:00:00.000Z', '2014-11-24T00:00:00.000Z', '2016-11-25T00:00:00.000Z', '2019-11-09T00:00:00.000Z', '2019-11-09T00:00:00.000Z', '2019-11-13T00:00:00.000Z', '2020-11-06T00:00:00.000Z']",,,,2.14285714285714
3,4,2020-01-05T00:00:00.000Z,No Idea,Don Toliver,USAT21903300,,23658940.0,45,"['2019-05-29T00:00:00.000Z', '2019-12-13T00:00:00.000Z', '2020-03-13T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z']",838183.0,157234.0,1070285.0,1.42857142857143
5,6,2020-01-05T00:00:00.000Z,My Oh My,Camila Cabello,USSM11914257,0.28571428571428603,27597895.0,88,"['2019-12-06T00:00:00.000Z', '2020-05-01T00:00:00.000Z']",454302.0,14038861.0,18947098.0,41.5714285714286
6,7,2020-01-05T00:00:00.000Z,GOODMORNINGTOKYO!,Tokyo's Revenge,USLD91721611,,26287895.0,20,['2019-10-18T00:00:00.000Z'],,,,-8.142857142857139
7,8,2020-01-05T00:00:00.000Z,Candy,Doja Cat,USRC11801164,0.28571428571428603,18831630.0,62,"['2018-03-23T00:00:00.000Z', '2018-03-30T00:00:00.000Z', '2019-03-01T00:00:00.000Z', '2020-11-11T00:00:00.000Z']",217671.0,779315.0,4337663.0,7.28571428571429
8,9,2020-01-05T00:00:00.000Z,Pump,VALENTINO KHAN,USZ4V1700087,2.28571428571429,16090524.0,267,"['2017-05-26T00:00:00.000Z', '2017-06-02T00:00:00.000Z']",46206.0,154409.0,187054.0,11.142857142857098
9,10,2020-01-05T00:00:00.000Z,Dance Monkey,Tones And I,QZES71982312,-0.14285714285714302,22955238.0,129,"['2019-05-10T00:00:00.000Z', '2019-05-10T00:00:00.000Z', '2019-08-08T00:00:00.000Z', '2019-08-29T00:00:00.000Z', '2019-10-17T00:00:00.000Z', '2019-11-01T00:00:00.000Z', '2019-10-17T00:00:00.000Z', '2019-08-30T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-12-20T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2020-01-24T00:00:00.000Z', '2020-01-24T00:00:00.000Z', '2020-01-24T00:00:00.000Z', '2020-02-07T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-27T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-07T00:00:00.000Z', '2020-04-13T00:00:00.000Z', '2020-04-24T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-06-19T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-01T00:00:00.000Z', '2020-07-01T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-08-06T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-13T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-25T00:00:00.000Z', '2020-12-25T00:00:00.000Z', '2020-12-25T00:00:00.000Z']",1410939.0,436052.0,2388886.0,12.4285714285714
10,11,2020-01-05T00:00:00.000Z,Love Songs - Bonus,Kaash Paige,QZES71881447,-0.857142857142857,22196800.0,38,"['2018-11-19T00:00:00.000Z', '2019-11-15T00:00:00.000Z', '2020-03-13T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-09T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-14T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-11T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-12T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",1376005.0,27231.0,138674.0,6.28571428571429
